album,song,lyric,section
The Tortured Poets Department,Fortnight (feat. Post Malone),I was s'posed to be sent away,[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),But they forgot to come and get me,[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),I was a functioning alcoholic,[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),'Til nobody noticed my new aesthetic,[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),"All of this to say, I hope you're okay",[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),But you're the reason,[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),And no one here's to blame,[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),But what about your quiet treason?,[Verse 1: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),And for a fortnight there we were forever running,[Chorus: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),'Til you sometimes ask about the weather,[Chorus: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),Now you're in my backyard turned into good neighbors,[Chorus: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),"Your wife waters flowers, I want to kill her",[Chorus: Taylor Swift]
The Tortured Poets Department,Fortnight (feat. Post Malone),All my mornings are Monday stuck in an endless February,"[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I took the miracle move on drug, the effects were temporary","[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"And I love you, it's ruining my life","[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I love you, it's ruining my life","[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),I touched you for only a fortnight,"[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I touched you, but I touched you","[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),And for a fortnight there we were forever running,"[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),'Til you sometimes ask about the weather,"[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"Now you're in my backyard, turned into good neighbors","[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"Your wife waters flowers, I want to kill her","[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),And for a fortnight there we were together running,"[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),'Til you sometimes come and tug my sweater,"[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),Now you're at the mailbox turned into good neighbors,"[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"My husband is cheating, I want to kill him","[Chorus: Taylor Swift, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I love you, it's ruining my life","[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I love you, it's ruining my life","[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),I touched you for only a fortnight,"[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I touched you, I touched you","[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I love you, it's ruining my life","[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I love you, it's ruining my life","[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),I touched you for only a fortnight,"[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"I touched you, I touched you","[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]"
The Tortured Poets Department,Fortnight (feat. Post Malone),I call you up but you won't pick up,"[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,Fortnight (feat. Post Malone),Another fortnight lost in America,"[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"Move to Florida, buy the car you want (Car you want)","[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"But it won't start up 'til you touch, touch, touch me","[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,Fortnight (feat. Post Malone),I call you up but you won't pick up,"[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,Fortnight (feat. Post Malone),Another fortnight lost in America,"[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"Move to Florida, buy the car you want","[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,Fortnight (feat. Post Malone),"But it won't start up 'til I touch, touch, touch you","[Verse 3: Post Malone, Post Malone & Taylor Swift, Taylor Swift]"
The Tortured Poets Department,The Tortured Poets Department,You left your typewriter at my apartment,[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,Straight from the tortured poets department,[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,I think some things I never say,[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,"""Like who uses typewriters anyway?""",[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,But you're in self-sabotage mode,[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,Throwing spikes down on the road,[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,But I've seen this episode and still love the show,[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,Who else decodes you?,[Verse 1]
The Tortured Poets Department,The Tortured Poets Department,And who's gonna hold you?,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,Like me,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,And who's gonna know you?,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,If not me,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,"I laughed in your face and said, ""You're not Dylan Thomas, I'm not Patti Smith",[Chorus]
The Tortured Poets Department,The Tortured Poets Department,"This ain't the Chelsea Hotel, we're modern idiots""",[Chorus]
The Tortured Poets Department,The Tortured Poets Department,And who's gonna hold you?,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,Like me,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,"No, nobody",[Post-Chorus]
The Tortured Poets Department,The Tortured Poets Department,No-fucking-body,[Post-Chorus]
The Tortured Poets Department,The Tortured Poets Department,Nobody,[Post-Chorus]
The Tortured Poets Department,The Tortured Poets Department,You smoked then ate seven bars of chocolate,[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,We declared Charlie Puth should be a bigger artist,[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,"I scratch your head, you fall asleep",[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,Like a tattooed golden retriever,[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,But you awaken with dread,[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,Pounding nails in your head,[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,But I've read this one where you come undone,[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,I chose this cyclone with you,[Verse 2]
The Tortured Poets Department,The Tortured Poets Department,And who's gonna hold you?,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,Like me (Who's gonna hold you?),[Chorus]
The Tortured Poets Department,The Tortured Poets Department,And who's gonna know you? (Who's gonna hold you?),[Chorus]
The Tortured Poets Department,The Tortured Poets Department,Like me,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,"I laughed in your face and said, ""You're not Dylan Thomas, I'm not Patti Smith",[Chorus]
The Tortured Poets Department,The Tortured Poets Department,"This ain't the Chelsea Hotel, we're modern idiots""",[Chorus]
The Tortured Poets Department,The Tortured Poets Department,And who's gonna hold you?,[Chorus]
The Tortured Poets Department,The Tortured Poets Department,Like me (Who's gonna hold you?),[Chorus]
The Tortured Poets Department,The Tortured Poets Department,"No, nobody (Who's gonna hold you?)",[Chorus]
The Tortured Poets Department,The Tortured Poets Department,No-fucking-body (Who's gonna hold you?),[Chorus]
The Tortured Poets Department,The Tortured Poets Department,Nobody (Who's gonna hold you?),[Chorus]
The Tortured Poets Department,The Tortured Poets Department,Sometimes I wonder if you're gonna screw this up with me,[Bridge]
The Tortured Poets Department,The Tortured Poets Department,But you told Lucy you'd kill yourself if I ever leave,[Bridge]
The Tortured Poets Department,The Tortured Poets Department,And I had said that to Jack about you so I felt seen,[Bridge]
The Tortured Poets Department,The Tortured Poets Department,Everyone we know understands why it's meant to be,[Bridge]
The Tortured Poets Department,The Tortured Poets Department,Because we're crazy,[Bridge]
The Tortured Poets Department,The Tortured Poets Department,So tell me who else is gonna love you? Like me,[Bridge]
The Tortured Poets Department,The Tortured Poets Department,At dinner you take my ring off my middle finger and put it on the one people put wedding rings on,[Bridge]
